カテゴリ,管理番号,施設名,郵便番号,所在地,法人・団体名,開設年月日,有効開始日,有効終了日
店舗販売業,22440-350,ウエルシア守山今宿店,524-0046,守山市今宿四丁目５－１０,ウエルシア薬局株式会社,,2021-12-13,2026-12-31
店舗販売業,22451-350,株式会社高岡屋,525-0034,草津市草津三丁目９－１４,株式会社高岡屋,,2022-02-03,2027-12-31
店舗販売業,22454-350,スギドラッグ　南草津店,525-0055,草津市南草津プリムタウン四丁目１７－３０　ルビットパーク南草津,株式会社スギ薬局,,2022-04-06,2027-12-31
店舗販売業,22455-350,ドラッグユタカ南草津店,525-0055,草津市野路町６８９－３,株式会社ユタカファーマシー,,2022-04-19,2027-12-31
店舗販売業,22467-350,ウエルシア滋賀草津町店,525-0036,草津市草津町１８９９,ウエルシア薬局株式会社,,2022-05-17,2027-12-31
店舗販売業,22474-350,スーパーセンタートライアル草津矢橋店,525-0066,草津市矢橋町２２１,株式会社トライアルストアーズ,,2022-08-24,2027-12-31
店舗販売業,22475-350,サンドラッグ野洲店,520-2331,野洲市小篠原１０００　アルプラザ野洲店１階,株式会社サンドラッグ,,2022-08-19,2027-12-31
店舗販売業,22502-350,ドラッグコスモス川原店,525-0022,草津市川原一丁目９－１,株式会社コスモス薬品,,2022-12-05,2027-12-31
店舗販売業,22513-350,フジ薬品　アルプラザ,525-0025,草津市西渋川一丁目２３－３０　アルプラザ草津内,有限会社フジ薬局,,2023-01-12,2028-12-31
店舗販売業,22524-350,マルワ漢方,525-0032,草津市大路一丁目８－２５　エムビル１Ｆ,,,2023-03-22,2028-12-31
店舗販売業,22542-350,クスリのアオキ草津下物店,525-0001,草津市下物町５１－１,株式会社クスリのアオキ,,2023-06-28,2028-12-31
店舗販売業,22582-350,松喬堂,520-2331,野洲市小篠原１９７９,,,2024-02-28,2029-12-31
店舗販売業,22610-350,ローソン　栗東御園店,520-3005,栗東市御園１８９３,,,2025-02-03,2030-12-31
店舗販売業,22612-350,クスリキリン堂　守山駅前店,524-0037,守山市梅田町２８－１,株式会社キリン堂,,2024-09-05,2029-12-31
店舗販売業,22617-350,ゲンキー小島店,524-0002,守山市小島町１６０２,ゲンキー株式会社,,2024-11-04,2030-11-03
店舗販売業,22628-350,クスリのアオキ草津野村店,525-0027,草津市野村四丁目３－３,株式会社クスリのアオキ,,2025-02-05,2030-12-31
店舗販売業,22636-350,薬マツモトキヨシ　ハズイタウン守山店,524-0045,守山市金森町４８８,株式会社マツモトキヨシ,,2025-02-12,2030-12-31
店舗販売業,22653-350,スギドラッグ　守山店,524-0021,守山市吉身三丁目１４－３０,株式会社スギ薬局,,2025-05-01,2030-12-31
店舗販売業,22654-350,ゲンキ―山田店,525-0061,草津市北山田町坊ノ後６９－１,ゲンキ―株式会社,,2025-05-12,2031-05-11
店舗販売業,22662-350,クスリキリン堂　草津かがやき通り店,525-0048,草津市追分南三丁目２５－４,株式会社キリン堂,,2025-07-01,2030-12-31
店舗販売業,22664-350,ドラッグコスモス小柿店,520-3024,栗東市小柿三丁目４－４３,株式会社コスモス薬品,,2025-07-14,2030-12-31
店舗販売業,22691-350,ゲンキー西渋川店,525-0025,草津市西渋川二丁目１－２８,ゲンキー株式会社,,2026-03-09,2032-03-08
店舗販売業,22694-350,ドラッグコスモス下鈎店,520-3026,栗東市下鈎８９６,株式会社コスモス薬品,,2026-03-17,2031-12-31
店舗販売業,30034-350,昭和化学工業株式会社,520-3433,甲賀市甲賀町大原市場１５７,昭和化学工業株式会社,,2022-01-01,2027-12-31
店舗販売業,30035-350,日新製薬株式会社,528-0013,甲賀市水口町宮の前２－６２,日新製薬株式会社,,2024-01-01,2029-12-31
