施設名,施設郵便,施設住所,法人・団体名,施設番号,許可日,当初許可日,業種,種目主,種目従,満了日,条件1,条件2,条件3,条件4
すなっく　ベティ,526-0037,長浜市高田町３－１７,,706932101,R05/03/01,R05/03/01,※飲食店営業,簡易な営業,,R11/02/28,簡易な営業に限る,,,
テラダ水産,526-0113,長浜市南浜町１５３３－１,,706938116,R05/07/01,R05/07/01,※水産製品製造業,その他水産製品製造,,R11/06/30,,,,
ピザーラ　名古屋８３０ほ８８００,,滋賀県一円（大津市の区域を除く）,株式会社フォーシーズ,706940101,R04/03/01,R04/03/01,※飲食店営業,,,R09/02/28,自動車による営業に限る,,,
ＣＯＣＫＴＡＩＬ　ＨＯＵＳＥ　憩－ＩＫＯＩ－,526-0054,長浜市大宮町１０－５,,706944101,R05/03/01,R05/03/01,※飲食店営業,簡易な営業,,R11/02/28,簡易な営業に限る,,,
セブン－イレブン　長浜駅前店,526-0059,長浜市元浜町１－３,,706951101,R06/03/01,R06/03/01,※飲食店営業,そうざい屋,,R13/02/28,,,,
焼とり居酒屋　華,526-0817,長浜市七条町９０１－４,,706957101,R04/07/01,R04/07/01,※飲食店営業,一般食堂,,R10/06/30,,,,
あざいカルチャー＆スポーツビレッジ,526-0203,長浜市野瀬町７３０,株式会社日本水泳振興会,706959101,R04/07/01,R04/07/01,※飲食店営業,旅館・ホテル,,R10/06/30,,,,
ファミリーマート長浜八島店,526-0252,長浜市八島町４９７－１,,706961101,R05/07/01,R05/07/01,※飲食店営業,そうざい屋,,R11/06/30,,,,
の遊び,529-0523,長浜市余呉町川並３６４,,706964101,R05/11/01,R05/11/01,※飲食店営業,一般食堂,,R11/10/31,,,,
スナック　あるる,526-0058,長浜市南呉服町１１－３３,,706967101,R06/03/01,R06/03/01,※飲食店営業,簡易な営業,,R12/02/28,,,,
旅館うをよし,529-0364,長浜市湖北町尾上２８７－１,,706968101,R03/09/24,R03/09/24,※飲食店営業,旅館・ホテル,,R11/06/30,,,,
百匠屋,526-0242,長浜市三田町３５１,,706975111,R05/07/01,R05/07/01,※菓子製造業,菓子製造,,R11/06/30,,,,
北海道花の舞　長浜駅前店,526-0057,長浜市北船町３－２４　えきまちテラス長浜１Ｆ・２Ｆ,株式会社エム・ジェイ,706976101,R07/03/01,R07/03/01,※飲食店営業,一般食堂,,R14/02/29,,,,
ムーン・フード・ジャパン,529-0535,長浜市余呉町今市３４６,田中シビルテック株式会社,706979112,R05/11/01,R05/11/01,※アイスクリーム類製造業,氷菓製造,,R11/10/31,,,,
横浜家系ラーメン　梵波家,529-0331,長浜市湖北町八日市７５３－２,株式会社十二分屋,706980101,R05/07/01,R05/07/01,※飲食店営業,一般食堂,,R11/06/30,,,,
今浜の郷,526-0044,長浜市下坂中町２００－１,日清医療食品株式会社,706981101,R07/03/01,R07/03/01,※飲食店営業,給食,,R14/02/29,,,,
長浜浪漫ビール株式会社　長濱蒸留所　詰口場,529-0141,長浜市五村１９１,長浜浪漫ビール株式会社,706988121,R05/07/01,R05/07/01,※酒類製造業,酒類製造,,R11/06/30,,,,
(株)平和堂　フレンドマート長浜平方店　カットフルーツ室,526-0033,長浜市平方町３３１,株式会社平和堂,706989111,R06/03/01,R06/03/01,※菓子製造業,菓子製造,,R12/02/28,,,,
あかり,526-0057,長浜市北船町３－２４　えきまちテラス長浜　２階,,706993101,R06/03/01,R06/03/01,※飲食店営業,簡易な営業,,R12/02/28,,,,
セブン-イレブン　伊吹春照店,521-0314,米原市春照２１４７,,706996101,R06/11/01,R06/11/01,※飲食店営業,そうざい屋,,R13/10/31,,,,
