許可番号,法人・団体名,施設名,業種,許可申請年月日,許可開始年月日,許可満了年月日,条件
117151-01,,小料理屋　麻,飲食店営業,2025/05/22,2025/06/16,2031/06/30,
117152-01,,熟成壺焼き芋　おげし,飲食店営業,2025/05/22,2025/05/28,2031/02/28,巡回移動営業に限る。申請のあった営業場所に限る。申請のあった取扱品目に限る。加熱調理食品の提供に限る。簡単な調理加工行為に限る。
117153-01,,みやこ庵,飲食店営業,2025/05/22,2025/05/28,2031/02/28,巡回移動営業に限る。申請のあった営業場所に限る。申請のあった取扱品目に限る。加熱調理食品の提供に限る。簡単な調理加工行為に限る。
117154-01,,おばんざい　さくら,飲食店営業,2025/05/23,2025/06/04,2031/10/31,
117155-01,,キッチン　シノヅカ（滋賀８００す８８４６）,飲食店営業,2025/05/23,2025/05/29,2032/02/29,自動車による営業に限る。申請のあった取扱品目に限る。
117156-01,,ＯＧＵ　Ｄｏｎｕｔｓ,飲食店営業,2025/05/26,2025/05/30,2031/02/28,巡回移動営業に限る。申請のあった営業場所に限る。申請のあった取扱品目に限る。加熱調理食品の提供に限る。
117160-01,遊楽ダイニング株式会社,アソビキッチン（滋賀８００す８３３１）,飲食店営業,2025/05/28,2025/06/03,2031/02/28,自動車による営業に限る。給水・廃水タンクの容量は約２００Ｌ以上とする。
117165-01,,ＢＡＮＨ　Ｍｉ　ＢＩＷＡＫＯ,飲食店営業,2025/06/02,2025/06/11,2031/06/30,
117166-01,株式会社クラフトオン,酒ＢＡＲ　ＩＲＯＴＥＲＵ,飲食店営業,2025/06/03,2025/06/09,2031/06/30,
117167-01,,インドネパール料理　ニューアンナプルナ　大津店,飲食店営業,2025/06/04,2025/06/11,2032/02/29,
117168-01,,ニューヨークのラーメン屋　滋賀本店,飲食店営業,2025/06/05,2025/06/18,2032/06/30,
117169-01,株式会社穴太ホールディングス,穴太商店,飲食店営業,2025/06/06,2025/06/20,2031/10/31,
117170-01,ハーベスト株式会社,シニアホーム　勢多夕照苑,飲食店営業,2025/06/06,2025/06/27,2033/06/30,
117171-01,株式会社オフィス・ハイウェイ,和喫茶　かまる,飲食店営業,2025/06/10,2025/06/20,2031/10/31,
117172-01,スターバックスコーヒージャパン株式会社,スターバックスコーヒーフォレオ大津一里山店,飲食店営業,2025/06/11,2025/07/08,2032/06/30,
117174-11,,笑み菓子ｓｏｕｒｉａｎｔ,菓子製造業,2025/06/12,2025/07/07,2032/06/30,申請のあった取扱品目の製造に限る。
117175-01,,ちかちかキッチン（なにわ８３０さ４６２９）,飲食店営業,2025/06/12,2025/06/18,2031/02/28,自動車による営業に限る。給水・廃水タンクの容量は約２００Ｌ以上とする。
117176-01,,キッチン佐藤（京都８００そ４３００）,飲食店営業,2025/06/13,2025/06/19,2032/02/29,自動車による営業に限る。給水・廃水タンクの容量は約２００Ｌ以上とする。
117177-01,,酒肴　なかい,飲食店営業,2025/06/17,2025/07/11,2032/02/29,
117179-01,,レオソル,飲食店営業,2025/06/18,2025/06/26,2030/06/30,
117180-01,,出張料理　湖の家（滋賀４８０と５１１７）,飲食店営業,2025/06/19,2025/06/25,2031/02/28,自動車による営業に限る。申請のあった取扱品目に限る。給水・廃水タンクの容量は約８０Ｌ以上とする。
117181-01,株式会社丸亀製麺,丸亀うどーなつ２号車（相模８００せ８６００）,飲食店営業,2025/06/19,2025/06/25,2031/02/28,自動車による営業に限る。給水・廃水タンクの容量は約２００Ｌ以上とする。
117182-01,,ローソン大津大石東,飲食店営業,2025/06/20,2025/07/03,2033/06/30,
117190-01,株式会社元廣,神戸クック・ワールドビュッフェ　大津テラス店,飲食店営業,2025/06/24,2025/07/22,2033/02/28,
117191-01,,ＢＩＷＡＳＯＲＡ,飲食店営業,2025/06/26,2025/08/28,2031/10/31,
117193-01,,ＨＡＪＩＭＥ　ＫＩＴＣＨＥＮ（滋賀８００す９０２９）,飲食店営業,2025/06/30,2025/07/04,2031/02/28,自動車による営業に限る。給水・廃水タンクの容量は約２００Ｌ以上とする。
117194-01,株式会社Ｒｅ－ｔｅｃ,ｓｅｓｓｉｏｎｓ（滋賀８３０み・１０９）,飲食店営業,2025/06/30,2025/07/04,2031/02/28,自動車による営業に限る。給水・廃水タンクの容量は約２００Ｌ以上とする。
117195-01,,島田商事,飲食店営業,2025/06/30,2025/07/04,2031/02/28,巡回移動営業に限る。申請のあった取扱品目に限る。加熱調理食品の提供に限る。簡易な調理に限る。
117196-01,,牛ｇｙｕ牛（京都８３０さ３８９０）,飲食店営業,2025/07/01,2025/07/04,2031/02/28,自動車による営業に限る。申請のあった取扱品目に限る。給水・廃水タンクの容量は約４０Ｌ以上とする。
