許可番号,法人・団体名,施設名,業種,許可申請年月日,許可開始年月日,許可満了年月日,条件
117295-01,株式会社平和堂,株式会社平和堂フレンドマート今堅田店　青果作業室,飲食店営業,2025/09/30,2025/10/22,2032/10/31,
117296-01,株式会社平和堂,株式会社平和堂フレンドマート今堅田店　青果カットフルーツ作業室,飲食店営業,2025/09/30,2025/10/22,2032/10/31,
117296-11,株式会社平和堂,株式会社平和堂フレンドマート今堅田店　青果カットフルーツ作業室,菓子製造業,2025/09/30,2025/10/22,2032/10/31,申請のあった取扱品目の製造に限る。
117297-01,,ウツミファームボックス（京都８００せ９０６８）,飲食店営業,2025/10/01,2025/10/07,2031/02/28,自動車による営業に限る。給水・廃水タンクの容量は約２００Ｌ以上とする。
117298-01,スターバックスコーヒージャパン株式会社,スターバックスコーヒー　大津堅田店,飲食店営業,2025/10/09,2025/10/22,2031/10/31,
117300-01,,サワディーカー（滋賀８３０さ９５２８）,飲食店営業,2025/10/02,2025/10/08,2031/02/28,自動車による営業に限る。給水・廃水タンクの容量は約２００Ｌ以上とする。
117301-01,,ダイニング　てっちゃん家,飲食店営業,2025/10/07,2025/10/21,2032/06/30,
117304-01,株式会社山新商会,ガウーショ,飲食店営業,2025/10/07,2025/10/14,2031/02/28,巡回移動営業に限る。申請のあった取扱品目に限る。加熱調理食品の提供に限る。簡易な調理に限る。
117306-01,一冨士フードサービス株式会社,４９８２７事業所,飲食店営業,2025/10/08,2025/10/28,2033/02/28,
117307-01,一冨士フードサービス株式会社,４９８２８事業所,飲食店営業,2025/10/08,2025/10/28,2033/02/28,
117308-01,,ｔｈｅ　ｐａｒｋ　９５６（滋賀８００る２４９４）,飲食店営業,2025/10/09,2025/10/16,2031/02/28,自動車による営業に限る。給水・廃水タンクの容量は約２００Ｌ以上とする。
117309-01,,らんちゅう,飲食店営業,2025/10/09,2025/10/15,2032/06/30,
117311-01,,ｐｉｚｚａ３１１０（多摩８００そ６２６２）,飲食店営業,2025/10/09,2025/10/16,2031/02/28,自動車による営業に限る。給水・廃水タンクの容量は約２００Ｌ以上とする。
117313-01,,ｂｅｌｌ,飲食店営業,2025/10/14,2025/10/24,2032/02/29,
117314-01,株式会社Ｌｉｋｅ　Ｃｏｍｐａｎｙ,Ｐｌａｉｓｉｒ（京都８００そ４５１９）,飲食店営業,2025/10/15,2025/10/17,2031/02/28,自動車による営業に限る。給水・廃水タンクの容量は約２００Ｌ以上とする。
117315-01,,コートサイド,飲食店営業,2025/10/16,2025/10/22,2031/02/28,巡回移動営業に限る。申請のあった取扱品目に限る。加熱調理食品の提供に限る。簡易な調理に限る。
117316-01,株式会社Ｊ－ＳＰＯＴ,Ｃｈｏｔ　ＢＡＲ　Ｊ－ＳＰＯＴ,飲食店営業,2025/10/16,2025/10/30,2032/06/30,
117317-01,株式会社平和堂,株式会社平和堂フレンドマート南郷店　精肉作業室,飲食店営業,2025/10/15,2025/10/30,2033/06/30,
117317-03,株式会社平和堂,株式会社平和堂フレンドマート南郷店　精肉作業室,食肉販売業,2025/10/15,2025/10/30,2033/06/30,とさつ・解体は行わないこと。
