カテゴリ,施設名,郵便番号,所在地,住所,番地,法人・団体名,確認・許可年月日,種別,旧種別,登録期限,保健所
美容所,ＦＲＯ．,527-0051,東近江市林田町,東近江市林田町１２６１－４,１２６１－４,株式会社ＦＲＯ,R08/01/05,,,,東近江
美容所,ｃａｍｉｌｌａ,527-0038,東近江市聖徳町,東近江市聖徳町４－３５－２,４－３５－２,ＲｉＰｉ株式会社,R08/01/14,,,,東近江
美容所,ヘアーサロン ルシュ（Ｌｕｓｈｕ）,529-1414,東近江市五個荘中町,東近江市五個荘中町２８０－１１,２８０－１１,,R08/01/29,,,,東近江
美容所,ｅｓ ｌｕｍｉｎａ ｈａｉｒ ｄｅｓｉｇ ｎ,523-0891,近江八幡市鷹飼町,近江八幡市鷹飼町１６３４－１０,１６３４－１０,,R08/03/24,,,,東近江
美容所,Ｆｅｅｌ Ｆｒｅｅ,527-0124,東近江市下岸本町,東近江市下岸本町２２０－１４,２２０－１４,,R08/03/24,,,,東近江
美容所,Ｍａｉｓｏｎ Ｍａｈａｌｏ ｅｙｅｌａｓ ｈ＆ｋｉｍｏｎｏ,521-1351,近江八幡市安土町常楽 寺,近江八幡市安土町常楽 寺２４－１,２４－１,,R08/04/07,,,,東近江
美容所,Ｓｈａｃｋ,521-1211,東近江市今町,東近江市今町３４２,３４２,,R08/03/31,,,,東近江
美容所,Ｋｕｓｃｈｅｌ Ｐｈｏｔｏｇｒａｐｈｙ,523-0891,近江八幡市鷹飼町,近江八幡市鷹飼町１５５３ イーストビル２０３,１５５３ イーストビル２０３,,R08/03/31,,,,東近江
美容所,ｐｒｉｖａｔｅ ｓａｌｏｎ Ｎａｎｏｈ,521-1223,東近江市猪子町,東近江市猪子町３９０－１,３９０－１,,R08/05/22,,,,東近江
美容所,Ｅｋｏｌｕ ＨＡＩＲ ＤＥＳＩＧＮ,529-1572,東近江市桜川西町,東近江市桜川西町８０１ 第二蒲生ビル１０３号室,８０１ 第二蒲生ビル１０３号室,,R08/04/30,,,,東近江
美容所,ｋｉｉｔｏｓ,523-0818,近江八幡市西本郷町東,近江八幡市西本郷町東４－６,４－６,,R08/04/30,,,,東近江
美容所,ＨＡＩＲ ＳＡＬＯＮ ｆｕｎｋｙ ケイト,521-1321,近江八幡市安土町桑実 寺,近江八幡市安土町桑実 寺２２－３,２２－３,,R08/04/21,,,,東近江
美容所,Ｈａｉｒ Ｍａｋｅ ＳＫＵＮＫ,523-0894,近江八幡市中村町,近江八幡市中村町３－１４,３－１４,,R08/05/08,,,,東近江
美容所,Ｌｉｂｅｒｔｅ,523-0072,近江八幡市牧町,近江八幡市牧町３８３－１２,３８３－１２,,R08/05/13,,,,東近江
美容所,ｈａｉｒ ＆ ｅｙｅ ｎｏｎｎｏ,527-0016,東近江市今崎町,東近江市今崎町５１３,５１３,,R08/05/29,,,,東近江
美容所,ＥＮ,527-0232,東近江市青野町,東近江市青野町４６５５－１,４６５５－１,,R08/05/29,,,,東近江
美容所,ＨＥＵＧＥ,523-0891,近江八幡市鷹飼町,近江八幡市鷹飼町１５４６－１ 木村ビル２Ｆ,１５４６－１ 木村ビル２Ｆ,,R08/06/26,,,,東近江
美容所,ｎｕａｇｅ ｅｙｅｌａｓｈ ｓａｌｏｎ,521-1235,東近江市伊庭町,東近江市伊庭町１０１－７ コンフォート８ １０２号室,１０１－７ コンフォート８ １０２号室,,R08/07/02,,,,東近江
美容所,ＨＡＩＲ ＳＴＵＤＩＯ Ａ．Ａ．Ａ．,529-1414,東近江市五個荘中町,東近江市五個荘中町２８０－５,２８０－５,,R08/07/09,,,,東近江
美容所,Ｎｉｍａ ｓａｌｏｎ,527-0012,東近江市八日市本町,東近江市八日市本町１５－１１－３,１５－１１－３,,R08/07/24,,,,東近江
美容所,Ａｎｇｅ,522-0043,彦根市小泉町,彦根市小泉町１９－６,１９－６,,H16/07/12,,,,彦根
美容所,Ａｔｅｌｉｅｒ Ｃｈｅｄｉ,522-0033,彦根市芹川町,彦根市芹川町５７３－１８,５７３－１８,,H16/01/30,,,,彦根
美容所,ＢＥ＝ＣＨＩＣＫ,522-0047,彦根市日夏町,彦根市日夏町１８６０－４１,１８６０－４１,,H11/10/07,,,,彦根
美容所,Ｂｅａｕｔｙ Ｓａｌｏｎ ａｎ,522-0024,彦根市正法寺町,彦根市正法寺町８３４－１,８３４－１,,H19/10/25,,,,彦根
美容所,Ｂｅａｕｔｙ Ｓｈｏｐ Ｍｙｕ,522-0089,彦根市錦町,彦根市錦町７－１２,７－１２,,H11/08/19,,,,彦根
美容所,ＢＬＵＥ ＭＡＸ,522-0054,彦根市西今町,彦根市西今町３６２－３,３６２－３,,H11/01/14,,,,彦根
美容所,ＢＵＲＧ（バーグ）,522-0069,彦根市馬場一丁目,彦根市馬場一丁目３－８フラットＢｅｌ １Ｆ,３－８フラットＢｅｌ １Ｆ,,H07/11/14,,,,彦根
美容所,ｃｈａｒｍｅｄ,522-0222,彦根市南川瀬町,彦根市南川瀬町１４９８,１４９８,,H13/03/30,,,,彦根
美容所,ＣＬＵＢ ＨＡＩＲ ＴＡＧＡ,522-0341,犬上郡多賀町多賀,犬上郡多賀町多賀６５０,６５０,,S63/07/01,,,,彦根
美容所,ＣｏＣｏ，Ｍ,522-0051,彦根市中藪町,彦根市中藪町６６０－３,６６０－３,,H08/05/23,,,,彦根
美容所,ＣＯＵＲ大薮店,522-0053,彦根市大藪町,彦根市大藪町２１－２２ メゾンインペリアル１Ｆ,２１－２２ メゾンインペリアル１Ｆ,,H11/12/02,,,,彦根
美容所,ＣＲＥＳＣＥＲ（カット ハウス クレセ ル）,522-0041,彦根市平田町,彦根市平田町３９３,３９３,,H08/11/29,,,,彦根
美容所,ＥＤＳＥＬ ｈａｉｒ,522-0052,彦根市長曽根南町,彦根市長曽根南町５６３－１０,５６３－１０,,H16/10/19,,,,彦根
美容所,Ｆｌｅｕｒｓ（フルール）,522-0056,彦根市開出今町,彦根市開出今町１３９３－１６,１３９３－１６,,H20/09/25,,,,彦根
美容所,Ｈａｉｒ ＢＡＧＵＳ,522-0043,彦根市小泉町,彦根市小泉町１０３９－１６,１０３９－１６,株式会社Ｂａｇｕｒａｔｏｒｙ,H20/11/04,,,,彦根
美容所,ｈａｉｒ ｍａｋｅ ａｓｋ,522-0052,彦根市長曽根南町,彦根市長曽根南町４３５ ＡＣＴビル２Ｆ,４３５ ＡＣＴビル２Ｆ,,H20/04/18,,,,彦根
美容所,ＢＥ－ＣＨＩＣＫ・Ｐ,522-0086,彦根市後三条町,彦根市後三条町３２６－６ プレジデンスＭＩＧＵＲＩ,３２６－６ プレジデンスＭＩＧＵＲＩ,有限会社Ｄ・Ｊａｎｃｔｉｏｎ,H19/08/31,,,,彦根
美容所,ＨＡＩＲ ＭＡＫＥ ＬＩＥＮ,521-1122,彦根市三津町,彦根市三津町１５３,１５３,,H20/07/23,,,,彦根
美容所,Ｈａｉｒ ｐｌａｃｅ ｋｉｔｉ,521-1146,彦根市柳川町,彦根市柳川町２１０,２１０,,H14/10/10,,,,彦根
美容所,ＨＡＩＲ Ｑ／ｔ,522-0234,彦根市森堂町,彦根市森堂町１０－３１,１０－３１,,H15/10/27,,,,彦根
美容所,Ｈａｉｒ Ｒｅｎａｉｓｓａｎｃｅ モモ,522-0047,彦根市日夏町,彦根市日夏町７１３－１９,７１３－１９,,H04/03/02,,,,彦根
